blockchain,pool,token,symbol,decimals,local_date,net_raw,transfers
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-05-06,19782393489568389124,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-05-12,-95701391852056036689,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-05-22,95701391852056036689,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-05-24,-5529613161767223373909,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-09,-1717480091964847580,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-11,-701264859142794309,5
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-12,-59767307106529791,7
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-13,-263979097464298453,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-14,-182085442979465982,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-15,-389861676457785556,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-16,-466167440295847582,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-17,-400781116756684481,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-18,-396532811982335454,3
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-19,37609794796521341,7
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-20,-625415564350817727,3
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-22,-475377541243325029,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-23,-241861234214913060,7
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-24,-178795219512866696,8
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-25,-193587048490317889,16
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-26,-97202666638679725,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-27,-235145885009662605,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-06-29,-74267250306385405,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-07-01,-29980741270017538,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-07-02,-66560503366899973,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-07-03,-177845870293807587,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-07-27,73966463553015898,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-08-01,-150375238401293560,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-08-03,2168745016211920606,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-08-06,-84245748308798048,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-08-09,-80879859725868686,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-08-10,-78253276774849172,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-08-12,5263614316030177,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-08-20,-93715529122237085,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-08-21,-202243250903285393,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-08-26,146521480884079914,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-09-01,-191152012071796672,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-09-02,-10994949898305742685680,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-09-06,-105229560564851547,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-09-08,124036445374106993,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-09-11,89833446774169820,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0x289f635106d5b822a505b39ac237a0ae9189335b,scrvUSD,18,2026-09-15,91836680652240088,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-05-06,-21726959933602233017,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-05-22,-105171035286588543070,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-05-24,-4067572734909468525930,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-09,1891114295426638605,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-11,772337023980733668,5
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-12,66603697784917657,7
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-13,290830041478877880,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-14,200637209440694492,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-15,429643757771236485,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-16,513769163768722495,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-17,441754948450673570,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-18,437139969419358326,3
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-19,-41360313885579481,7
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-20,689555429683241737,3
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-22,524215235557976365,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-23,266774046517338076,7
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-24,197364242531890952,8
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-25,213898851021471328,16
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-26,107201687496743144,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-27,259346277946909723,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-06-29,81911458234519790,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-07-01,33073279347254427,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-07-02,73432579275895739,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-07-03,196213527990796435,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-07-27,-81719208842500602,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-08-01,166192503403640460,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-08-03,-2396550194088443745,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-08-06,93122388832301608,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-08-09,89410799035591693,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-08-10,86511356653212648,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-08-12,-5818020107200719,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-08-20,103646292730107543,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-08-21,223679523111415163,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-08-26,-162037959478039790,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-09-01,211454445057161377,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-09-02,-8097634381832357671308,2
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-09-06,116424452881235061,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-09-08,-137208994110848158,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-09-11,-99382772671784487,1
optimism,0x00d09cccda09bb97132293c571ead11630d57a71,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6,crvUSD,18,2026-09-15,-101628738255868304,1
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-18,93892951466702174,87
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-19,53047728305806060,85
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-20,-71037169072964359,463
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-21,-40747758251333662,516
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-22,97399386562571166,127
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-23,41056481124185243,127
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-24,-33732475641654000,281
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-25,-27745239023678942,218
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-26,34298463852092206,80
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-27,30017563652444026,55
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-28,-80225092630225306,199
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-29,114370222159414381,191
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-04-30,-66301759322184368,378
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-05-01,17598256909741376,292
optimism,0x4456d13fc6736e8e8330394c0c622103e06ea419,0x4200000000000000000000000000000000000006,WETH,18,2026-05-02,16633362964282131,225
